ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
5	0$0$0.5 CO2$CH4$N2O_10182022_1223_005.gcd	Unknown	0	6.023	1626929	127656	0.000	-----	95.718	94.753	-----	-----
6	25$25$0_10182022_1223_006.gcd	Unknown	0	6.023	2013796	157558	0.000	-----	94.180	92.921	-----	-----
7	50$50$0_10182022_1223_007.gcd	Unknown	0	6.023	2323025	182047	0.000	-----	91.556	89.723	-----	-----
8	100$100$0 CO2$CH4$N2O_10182022_1223_008.gcd	Unknown	0	6.024	2427845	190690	0.000	-----	85.322	82.219	-----	-----
9	200$200$0 CO2$CH4$N2O_10182022_1223_009.gcd	Unknown	0	6.023	3796096	296892	0.000	-----	77.672	73.230	-----	-----
10	125$500$0 CO2$CH4$N2O_10182022_1223_010.gcd	Unknown	0	6.026	2796604	217931	0.000	-----	48.993	43.767	-----	-----
11	250$1000$0 CO2$CH4$N2O_10182022_1223_011.gcd	Unknown	0	6.025	3059133	239457	0.000	-----	36.545	31.625	-----	-----
12	500$2000$0 CO2$CH4$N2O_10182022_1223_012.gcd	Unknown	0	6.023	3949390	308957	0.000	-----	27.069	22.854	-----	-----
13	1000$4000$0 CO2$CH4$N2O_10182022_1223_013.gcd	Unknown	0	6.024	6635101	514923	0.000	-----	22.169	18.557	-----	-----
14	072822_MAL_BOG_AIR1_10182022_1223_014.gcd	Unknown	0	6.024	3408856	266870	0.000	-----	99.339	99.192	-----	-----
15	072822_MAL_BOG_AIR2_10182022_1223_015.gcd	Unknown	0	6.024	3370327	263270	0.000	-----	99.515	99.410	-----	-----
16	072822_MAL_BOG_AIR3_10182022_1223_016.gcd	Unknown	0	6.023	3544446	277440	0.000	-----	99.487	99.371	-----	-----
17	072822_MAL_FOR_AIR1_10182022_1223_017.gcd	Unknown	0	6.023	5723428	445413	0.000	-----	99.717	99.653	-----	-----
18	072822_MAL_FOR_AIR2_10182022_1223_018.gcd	Unknown	0	6.025	5212517	406415	0.000	-----	99.684	99.615	-----	-----
19	072822_MAL_FOR_AIR3_10182022_1223_019.gcd	Unknown	0	6.024	3416392	267596	0.000	-----	99.518	99.413	-----	-----
20	072922_MAL_BOG_AIR1_10182022_1223_020.gcd	Unknown	0	6.024	3465304	270437	0.000	-----	99.336	99.192	-----	-----
21	072922_MAL_BOG_AIR2_10182022_1223_021.gcd	Unknown	0	6.025	3948736	308940	0.000	-----	99.445	99.320	-----	-----
22	072922_MAL_BOG_AIR3_10182022_1223_022.gcd	Unknown	0	6.023	4392559	342257	0.000	-----	99.466	99.348	-----	-----
23	080122_MAL_EMR_AIR1_10182022_1223_023.gcd	Unknown	0	6.023	3450437	269616	0.000	-----	99.490	99.381	-----	-----
24	080122_MAL_EMR_AIR2_10182022_1223_024.gcd	Unknown	0	6.024	3313100	259188	0.000	-----	99.498	99.390	-----	-----
25	200$200$0_10182022_1223_025.gcd	Unknown	0	6.023	2638122	206783	0.000	-----	71.616	66.625	-----	-----
26	0$0$0.5_10182022_1223_026.gcd	Unknown	0	6.022	1229092	96174	0.000	-----	99.364	99.240	-----	-----
27	080122_MAL_EMR_AIR3_10182022_1223_027.gcd	Unknown	0	6.024	3354699	262367	0.000	-----	99.505	99.397	-----	-----
28	080222_MAL_FOR_AIR1_10182022_1223_028.gcd	Unknown	0	6.023	3348654	262192	0.000	-----	99.505	99.396	-----	-----
29	080222_MAL_FOR_AIR2_10182022_1223_029.gcd	Unknown	0	6.023	3449919	269879	0.000	-----	99.512	99.406	-----	-----
30	080222_MAL_FOR_AIR3_10182022_1223_030.gcd	Unknown	0	6.023	3329034	260564	0.000	-----	99.500	99.391	-----	-----
31	080322_MAL_BOG_AIR1_10182022_1223_031.gcd	Unknown	0	6.023	3581671	280282	0.000	-----	99.496	99.383	-----	-----
32	080322_MAL_BOG_AIR3_10182022_1223_032.gcd	Unknown	0	6.023	3345311	261279	0.000	-----	99.455	99.337	-----	-----
33	080322_MAL_BOG_AIR4_10182022_1223_033.gcd	Unknown	0	6.023	3383798	264216	0.000	-----	99.519	99.415	-----	-----
34	MT 9$14 AIR1_10182022_1223_034.gcd	Unknown	0	6.023	3401114	265649	0.000	-----	99.463	99.346	-----	-----
35	MT 9$14 AIR2_10182022_1223_035.gcd	Unknown	0	6.023	3491726	273082	0.000	-----	99.507	99.397	-----	-----
36	MT 9$14 AIR3_10182022_1223_036.gcd	Unknown	0	6.023	3340044	260831	0.000	-----	99.513	99.408	-----	-----
37	MT 9$14 1 T1_10182022_1223_037.gcd	Unknown	0	6.023	20730373	1584877	0.000	-----	88.189	85.185	-----	-----
38	MT 9$14 1 T2_10182022_1223_038.gcd	Unknown	0	6.022	22306309	1698156	0.000	-----	87.809	84.813	-----	-----
39	MT 9$14 2 T1_10182022_1223_039.gcd	Unknown	0	6.023	15586126	1197795	0.000	-----	73.946	68.814	-----	-----
40	MT 9$14 2 T2_10182022_1223_040.gcd	Unknown	0	6.024	16553889	1265186	0.000	-----	73.244	68.157	-----	-----
41	MT 9$14 3 T1_10182022_1223_041.gcd	Unknown	0	6.023	11954549	920046	0.000	-----	85.843	82.414	-----	-----
42	MT 9$14 3 T2_10182022_1223_042.gcd	Unknown	0	6.023	12596115	967812	0.000	-----	85.271	81.769	-----	-----
43	MT 9$14 4 T1_10182022_1223_043.gcd	Unknown	0	6.023	17588247	1344589	0.000	-----	97.241	96.454	-----	-----
44	MT 9$14 4 T2_10182022_1223_044.gcd	Unknown	0	6.023	15564316	1189100	0.000	-----	97.278	96.532	-----	-----
45	MT 9$14 5 T1_10182022_1223_045.gcd	Unknown	0	6.023	4951570	385435	0.000	-----	61.707	55.786	-----	-----
46	MT 9$14 5 T2_10182022_1223_046.gcd	Unknown	0	6.023	5183376	402831	0.000	-----	63.083	57.296	-----	-----
47	MT 9$14 6 T1_10182022_1223_047.gcd	Unknown	0	6.023	20522545	1568615	0.000	-----	83.698	79.816	-----	-----
48	MT 9$14 6 T2_10182022_1223_048.gcd	Unknown	0	6.023	20170815	1539281	0.000	-----	84.011	80.206	-----	-----
49	200$200$0_10182022_1223_049.gcd	Unknown	0	6.023	3194649	248523	0.000	-----	76.099	71.483	-----	-----
50	0$0$0.5_10182022_1223_050.gcd	Unknown	0	6.023	2170721	169812	0.000	-----	99.358	99.218	-----	-----
51	MT 9$14 7 T1_10182022_1223_051.gcd	Unknown	0	6.023	11759629	902010	0.000	-----	88.735	85.933	-----	-----
52	MT 9$14 7 T2_10182022_1223_052.gcd	Unknown	0	6.023	11467151	880003	0.000	-----	88.404	85.511	-----	-----
53	MT 9$14 8 T1_10182022_1223_053.gcd	Unknown	0	6.022	25112322	1906035	0.000	-----	88.207	85.209	-----	-----
54	MT 9$14 8 T2_10182022_1223_054.gcd	Unknown	0	6.022	24434714	1855734	0.000	-----	88.081	85.083	-----	-----
55	MT 9$14 9 T1_10182022_1223_055.gcd	Unknown	0	6.024	3127309	243773	0.000	-----	86.680	83.787	-----	-----
56	MT 9$14 9 T2_10182022_1223_056.gcd	Unknown	0	6.023	2859227	223152	0.000	-----	83.560	80.068	-----	-----
57	MT 9$14 10 T1_10182022_1223_057.gcd	Unknown	0	6.024	5680246	440356	0.000	-----	78.871	74.395	-----	-----
58	MT 9$14 10 T2_10182022_1223_058.gcd	Unknown	0	6.023	5800146	449914	0.000	-----	77.316	72.612	-----	-----
59	MT 9$14 11 T1_10182022_1223_059.gcd	Unknown	0	6.025	9212079	705568	0.000	-----	85.692	82.474	-----	-----
60	MT 9$14 11 T2_10182022_1223_060.gcd	Unknown	0	6.022	10163493	780876	0.000	-----	85.278	81.719	-----	-----
61	MT 9$14 12 T1_10182022_1223_061.gcd	Unknown	0	6.024	9085144	699509	0.000	-----	65.345	59.559	-----	-----
62	MT 9$14 12 T2_10182022_1223_062.gcd	Unknown	0	6.024	8440365	648983	0.000	-----	67.072	61.298	-----	-----
63	MT 9$14 13 T1_10182022_1223_063.gcd	Unknown	0	6.023	12113372	929518	0.000	-----	87.568	84.450	-----	-----
64	MT 9$14 13 T2_10182022_1223_064.gcd	Unknown	0	6.023	13027951	997623	0.000	-----	86.974	83.757	-----	-----
65	MT 9$14 14 T1_10182022_1223_065.gcd	Unknown	0	6.024	13018763	997386	0.000	-----	90.066	87.431	-----	-----
66	MT 9$14 14 T2_10182022_1223_066.gcd	Unknown	0	6.026	12505585	963933	0.000	-----	90.400	87.809	-----	-----
67	MT 9$14 15 T1_10182022_1223_067.gcd	Unknown	0	6.024	7499024	578379	0.000	-----	88.186	85.331	-----	-----
68	MT 9$14 15 T2_10182022_1223_068.gcd	Unknown	0	6.024	7941179	613224	0.000	-----	87.254	84.128	-----	-----
69	MT 9$28 AIR1_10182022_1223_069.gcd	Unknown	0	6.024	3525251	274577	0.000	-----	99.522	99.416	-----	-----
70	MT 9$28 AIR2_10182022_1223_070.gcd	Unknown	0	6.024	3456276	269535	0.000	-----	99.488	99.371	-----	-----
71	MT 9$28 AIR3_10182022_1223_071.gcd	Unknown	0	6.025	3478338	273357	0.000	-----	99.520	99.401	-----	-----
72	MT 9$28 1 T1_10182022_1223_072.gcd	Unknown	0	6.025	23942949	1827152	0.000	-----	93.856	92.074	-----	-----
73	200$200$0_10182022_1223_073.gcd	Unknown	0	6.024	2527293	196870	0.000	-----	71.435	66.384	-----	-----
74	0$0$0.5_10182022_1223_074.gcd	Unknown	0	6.023	1529799	119850	0.000	-----	99.374	99.237	-----	-----
75	MT 9$28 1 T2_10182022_1223_075.gcd	Unknown	0	6.024	23353885	1772082	0.000	-----	93.227	91.338	-----	-----
76	MT 9$28 2 T1_10182022_1223_076.gcd	Unknown	0	6.024	28060096	2134129	0.000	-----	99.015	98.725	-----	-----
77	MT 9$28 2 T2_10182022_1223_077.gcd	Unknown	0	6.023	22398307	1702824	0.000	-----	99.054	98.786	-----	-----
78	MT 9$28 3 T1_10182022_1223_078.gcd	Unknown	0	6.024	23086543	1750924	0.000	-----	96.840	95.940	-----	-----
79	MT 9$28 3 T2_10182022_1223_079.gcd	Unknown	0	6.024	22023593	1673421	0.000	-----	96.635	95.667	-----	-----
80	MT 9$28 4 T1_10182022_1223_080.gcd	Unknown	0	6.024	19852349	1511682	0.000	-----	99.650	99.555	-----	-----
81	MT 9$28 4 T2_10182022_1223_081.gcd	Unknown	0	6.025	20106176	1527645	0.000	-----	99.654	99.563	-----	-----
82	MT 9$28 5 T1_10182022_1223_082.gcd	Unknown	0	6.025	12672646	969162	0.000	-----	96.124	95.068	-----	-----
83	MT 9$28 5 T2_10182022_1223_083.gcd	Unknown	0	6.025	15037649	1147817	0.000	-----	96.460	95.484	-----	-----
84	MT 9$28 6 T1_10182022_1223_084.gcd	Unknown	0	6.024	22637324	1722665	0.000	-----	99.674	99.583	-----	-----
85	MT 9$28 6 T2_10182022_1223_085.gcd	Unknown	0	6.023	22799654	1733185	0.000	-----	99.646	99.547	-----	-----
86	MT 9$28 7 T1_10182022_1223_086.gcd	Unknown	0	6.024	13310175	1016780	0.000	-----	98.936	98.646	-----	-----
87	MT 9$28 7 T2_10182022_1223_087.gcd	Unknown	0	6.026	13343328	1021126	0.000	-----	98.926	98.636	-----	-----
88	MT 9$28 8 T1_10182022_1223_088.gcd	Unknown	0	6.025	21148809	1611405	0.000	-----	99.498	99.358	-----	-----
89	MT 9$28 8 T2_10182022_1223_089.gcd	Unknown	0	6.024	19958168	1521159	0.000	-----	99.494	99.353	-----	-----
90	MT 9$28 9 T1_10182022_1223_090.gcd	Unknown	0	6.024	13433099	1025396	0.000	-----	98.541	98.148	-----	-----
91	MT 9$28 9 T2_10182022_1223_091.gcd	Unknown	0	6.025	12671536	974608	0.000	-----	97.369	96.592	-----	-----
92	MT 9$28 10 T1_10182022_1223_092.gcd	Unknown	0	6.025	7211110	556553	0.000	-----	96.731	95.877	-----	-----
93	MT 9$28 10 T2_10182022_1223_093.gcd	Unknown	0	6.025	6491352	501720	0.000	-----	98.561	98.194	-----	-----
94	MT 9$28 11 T1_10182022_1223_094.gcd	Unknown	0	6.025	8169584	627866	0.000	-----	91.392	89.220	-----	-----
95	MT 9$28 11 T2_10182022_1223_095.gcd	Unknown	0	6.028	7785318	595894	0.000	-----	91.024	88.881	-----	-----
96	MT 9$28 12 T1_10182022_1223_096.gcd	Unknown	0	6.025	9863523	758627	0.000	-----	96.180	95.146	-----	-----
97	200$200$0_10182022_1223_097.gcd	Unknown	0	6.025	3952093	307040	0.000	-----	79.880	75.630	-----	-----
