ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
87	A-1937_1042023_1732_086.gcd	Unknown	0	3.204	2960719	293578	403.562	-----	23.266	28.714	-----	-----
88	A-1713_1042023_1732_087.gcd	Unknown	0	3.205	6207485	608697	846.113	-----	43.117	49.873	-----	-----
89	A-1765_1042023_1732_088.gcd	Unknown	0	3.205	5030247	495940	685.649	-----	45.395	52.187	-----	-----
	Average			3.205	9023869	877482	1230.001		30.322	34.474	0.0	
	%RSD			0.037921	282.173966	280.662805	282.173977		82.783492	76.614978	0.000000	
	Maximum			3.208	196831780	19060702	26829.220		97.701	98.186	0.0	
	Minimum			3.199	11123	1027	1.516		0.670	0.848	0.0	
	Std. Dev.			0.001216	25463007.881053	2462764.544447	3470.743571		25.101373	26.411952	0.000000	

ID#	2
Name	Carbon Dioxide
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	ghg2.90.gcd	Standard(Calc.Point)	1	-----	-----	-----	-----	-----	-----	-----	-----	*
2	zero air_1042023_1732_001.gcd	Unknown	0	6.002	1226627	92464	139.416	-----	98.590	98.299	-----	-----
3	zero air_1042023_1732_002.gcd	Unknown	0	6.000	1047540	79299	119.062	-----	98.949	98.721	-----	-----
4	0$0$0.1 CO2$CH4$N2O_1042023_1732_003.gcd	Unknown	0	6.001	1062105	80263	120.717	-----	92.869	91.058	-----	-----
5	0$0$0.25 CO2$CH4$N2O_1042023_1732_004.gcd	Unknown	0	6.002	807461	61015	91.775	-----	98.441	98.118	-----	-----
6	0$0$0.5 CO2$CH4$N2O_1042023_1732_005.gcd	Unknown	0	6.000	1119408	84606	127.230	-----	98.140	97.712	-----	-----
7	50$5$0.25 CO2$CH4$N2O_1042023_1732_006.gcd	Unknown	0	6.001	1217732	92160	138.405	-----	96.507	95.624	-----	-----
8	100$10$0.5 CO2$CH4$N2O_1042023_1732_007.gcd	Unknown	0	6.002	1746360	132435	198.488	-----	83.010	79.042	-----	-----
9	25$25$0 CO2$CH4$N2O_1042023_1732_008.gcd	Unknown	0	6.000	977889	73911	111.145	-----	83.587	79.757	-----	-----
10	50$50$0 CO2$CH4$N2O_1042023_1732_009.gcd	Unknown	0	6.001	1218807	92118	138.527	-----	79.872	75.428	-----	-----
11	100$100$0 CO2$CH4$N2O_1042023_1732_010.gcd	Unknown	0	6.002	2315635	175339	263.191	-----	72.855	67.259	-----	-----
12	200$200$0 CO2$CH4$N2O_1042023_1732_011.gcd	Unknown	0	6.002	3247189	246106	369.070	-----	55.663	48.817	-----	-----
13	125$500$0 CO2$CH4$N2O_1042023_1732_012.gcd	Unknown	0	6.001	2181924	164913	247.994	-----	31.930	26.602	-----	-----
14	250$1000$0 CO2$CH4$N2O_1042023_1732_013.gcd	Unknown	0	6.001	2872460	217438	326.479	-----	26.484	21.739	-----	-----
15	500$2000$0 CO2$CH4$N2O_1042023_1732_014.gcd	Unknown	0	6.001	4538425	342176	515.830	-----	23.816	19.462	-----	-----
16	1000$4000$0 CO2$CH4$N2O_1042023_1732_015.gcd	Unknown	0	6.001	7785431	585375	884.879	-----	21.345	17.252	-----	-----
17	2500$2500$0 CO2$CH4$N2O_1042023_1732_016.gcd	Unknown	0	5.999	20494282	1517545	2329.345	-----	48.995	42.317	-----	-----
18	5000$5000$0 CO2$CH4$N2O_1042023_1732_017.gcd	Unknown	0	5.998	35354694	2611308	4018.354	-----	48.718	41.802	-----	-----
19	7500$7500$0 CO2$CH4$N2O_1042023_1732_018.gcd	Unknown	0	5.994	55985621	4111657	6363.230	-----	48.145	41.300	-----	-----
20	10000$10000$0 CO2$CH4$N2O_1042023_1732_019.gcd	Unknown	0	5.992	68734425	5027272	7812.238	-----	48.087	41.234	-----	-----
21	A-1899_1042023_1732_020.gcd	Unknown	0	6.002	4957900	372006	563.507	-----	94.326	92.759	-----	-----
22	A-1898_1042023_1732_021.gcd	Unknown	0	6.001	4530983	341578	514.984	-----	99.261	99.069	-----	-----
23	A-1897_1042023_1732_022.gcd	Unknown	0	6.003	3553233	270768	403.854	-----	99.330	99.152	-----	-----
24	A-1900_1042023_1732_023.gcd	Unknown	0	6.001	9017036	675241	1024.861	-----	89.538	86.595	-----	-----
25	A-1901_1042023_1732_024.gcd	Unknown	0	6.001	9666845	723187	1098.717	-----	87.560	84.115	-----	-----
26	200$200$0_1042023_1732_025.gcd	Unknown	0	6.002	2353831	178078	267.532	-----	64.925	58.541	-----	-----
27	0$0$0.5_1042023_1732_026.gcd	Unknown	0	6.002	1058949	79786	120.358	-----	98.535	98.204	-----	-----
28	A-1902_1042023_1732_027.gcd	Unknown	0	6.001	9453710	707134	1074.493	-----	90.697	88.014	-----	-----
29	A-1903_1042023_1732_028.gcd	Unknown	0	6.001	12863762	960701	1462.073	-----	83.011	78.571	-----	-----
30	A-1904_1042023_1732_029.gcd	Unknown	0	6.001	13612478	1013681	1547.171	-----	81.468	76.779	-----	-----
31	A-1905_1042023_1732_030.gcd	Unknown	0	6.000	14380155	1069883	1634.424	-----	82.391	77.855	-----	-----
32	A-1906_1042023_1732_031.gcd	Unknown	0	6.000	5410937	407010	614.998	-----	93.866	92.132	-----	-----
33	A-1907_1042023_1732_032.gcd	Unknown	0	6.001	5291130	398559	601.381	-----	93.694	91.913	-----	-----
34	A-1908_1042023_1732_033.gcd	Unknown	0	6.002	5363592	403545	609.617	-----	92.818	90.804	-----	-----
35	A-1909_1042023_1732_034.gcd	Unknown	0	6.002	6613915	494137	751.726	-----	94.846	93.422	-----	-----
36	A-1910_1042023_1732_035.gcd	Unknown	0	6.002	6070011	455033	689.907	-----	92.778	90.736	-----	-----
37	A-1911_1042023_1732_036.gcd	Unknown	0	6.002	5712776	429708	649.304	-----	94.724	93.198	-----	-----
38	A-1912_1042023_1732_037.gcd	Unknown	0	6.001	2098382	158757	238.499	-----	60.037	53.368	-----	-----
39	A-1913_1042023_1732_038.gcd	Unknown	0	6.002	2299695	173997	261.379	-----	64.410	58.009	-----	-----
40	A-1914_1042023_1732_039.gcd	Unknown	0	6.002	2795218	210712	317.700	-----	73.834	68.351	-----	-----
41	A-1915_1042023_1732_040.gcd	Unknown	0	6.001	9989194	746707	1135.355	-----	41.833	35.463	-----	-----
42	A-1916_1042023_1732_041.gcd	Unknown	0	6.001	9547770	715607	1085.183	-----	42.105	35.648	-----	-----
43	A-1917_1042023_1732_042.gcd	Unknown	0	6.000	13524624	1006140	1537.186	-----	19.575	15.750	-----	-----
