ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
68	A-1324_7272023_1212_067.gcd	Unknown	0	3.2	818424	80849	111.556	-----	16.887	21.162	-----	-----
69	A-1322_7272023_1212_068.gcd	Unknown	0	3.2	907226	90477	123.66	-----	18.689	23.394	-----	-----
70	A-1327_7272023_1212_069.gcd	Unknown	0	3.202	830686	82082	113.227	-----	17.376	21.735	-----	-----
71	A-1338_7272023_1212_070.gcd	Unknown	0	3.2	2390041	236992	325.775	-----	66.102	72.012	-----	-----
72	A-1365_7272023_1212_071.gcd	Unknown	0	3.2	2838481	280752	386.9	-----	49.922	56.785	-----	-----
73	A-1388_7272023_1212_072.gcd	Unknown	0	3.201	1989089	197504	271.123	-----	58.043	64.642	-----	-----
74	200$200$0_7272023_1212_073.gcd	Unknown	0	3.199	1428403	141206	194.699	-----	41.389	48.208	-----	-----
75	0$0$0.5_7272023_1212_074.gcd	Unknown	0	-----	-----	-----	-----	-----	-----	-----	-----	-----
76	A-1375_7272023_1212_075.gcd	Unknown	0	3.2	2093393	207673	285.341	-----	62.543	68.794	-----	-----
77	A-1349_7272023_1212_076.gcd	Unknown	0	3.201	1917902	189928	261.42	-----	48.322	55.215	-----	-----
78	25$25$0 CO2$CH4$NO2_7272023_1212_077.gcd	Unknown	0	3.2	228853	22380	31.194	-----	29.927	35.939	-----	-----
79	A-1376_7272023_1212_078.gcd	Unknown	0	3.199	33598	3219	4.58	-----	0.847	1.08	-----	-----
80	A-1363_7272023_1212_079.gcd	Unknown	0	3.2	19789	1870	2.697	-----	0.523	0.658	-----	-----
81	A-1366_7272023_1212_080.gcd	Unknown	0	3.199	19869	1870	2.708	-----	0.429	0.54	-----	-----
82	A-1137_7272023_1212_081.gcd	Unknown	0	3.202	256573	24948	34.972	-----	5.996	7.674	-----	-----
